#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <Exponential id="Exponential.c:table" name="distr">
#                    <parameter id="UCExpLambda.c:table" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="136" id="expRateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucedMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
20000	-930.4259391287893	-862.8717179809679	-67.55422114782142	-862.8717179809679	4.3393723090537275	-67.55422114782142	0.816574601386505	1.003348272726204	0.8997294345127698	0.902844442926054
21000	-916.4314879878082	-847.8725294744696	-68.55895851333855	-847.8725294744696	4.170634655944083	-68.55895851333855	1.086255832070667	1.0942040984767314	0.962694241084064	0.9331534279001527
22000	-910.7212551431929	-851.1465358484297	-59.574719294763185	-851.1465358484297	3.395708431589694	-59.574719294763185	1.1787197401833984	1.076237124830419	1.0494790718301035	0.9254266118910625
23000	-918.2013333149472	-848.0273500573255	-70.17398325762169	-848.0273500573255	3.8279923692645377	-70.17398325762169	0.9888762403124249	0.9540283188849799	1.0157552636593483	0.9350753306570063
24000	-919.5604636920842	-842.8544770317159	-76.70598666036835	-842.8544770317159	4.51687057809098	-76.70598666036835	0.8195336672085674	0.9086362235169275	0.9714714221771138	0.9465649268922768
25000	-929.3575922277292	-850.5430431993649	-78.8145490283644	-850.5430431993649	4.670194116071437	-78.8145490283644	1.005802874148592	0.8888249345950594	0.791387008569425	0.8504218065111661
26000	-928.6074851978361	-850.4832204193989	-78.1242647784372	-850.4832204193989	5.089580496420971	-78.1242647784372	0.8773484303452745	0.9575679333743593	0.7729845949259976	0.8213426663460184
27000	-920.6581094158144	-847.7860621941526	-72.8720472216618	-847.7860621941526	3.9708354846278993	-72.8720472216618	1.0807941329742539	1.0283712311563713	0.8739892714711971	0.8745305032282429
28000	-913.0333716252364	-841.4813180576269	-71.55205356760952	-841.4813180576269	4.089680679388815	-71.55205356760952	0.8028296237240522	0.9374492013007393	0.7911783301032168	0.837082522732097
29000	-904.7412004059324	-835.4352253053123	-69.3059751006201	-835.4352253053123	4.318112204821836	-69.3059751006201	0.9606442974632617	1.0076640334230293	0.7112802372957345	0.8266901051886189
30000	-917.5555235423085	-836.9118204165134	-80.6437031257951	-836.9118204165134	4.850523851660857	-80.6437031257951	0.7478763429214736	0.9257756047128656	0.737589011962624	0.9003177137825695
31000	-871.5030807685824	-800.9390091772692	-70.56407159131325	-800.9390091772692	4.3002429789466765	-70.56407159131325	0.9464155520204366	0.9480641304102099	0.8456264418768142	0.8496102458166186
32000	-856.3725040065447	-785.6696722594916	-70.7028317470531	-785.6696722594916	5.698714051069847	-70.7028317470531	1.0178225098409255	0.8991806897093122	0.6119019877345332	0.811650794548427
33000	-868.4474526883538	-793.1175752424564	-75.32987744589745	-793.1175752424564	4.2649225624439735	-75.32987744589745	0.9604480051081421	0.9388138373390147	0.6419687596633918	0.7972321790762453
34000	-852.6137579728248	-778.7868763650351	-73.82688160778964	-778.7868763650351	4.567571618127939	-73.82688160778964	1.025648798702138	0.8970310964528646	0.5704530069969099	0.757345259550617
35000	-864.6467533354324	-789.0393926628044	-75.60736067262799	-789.0393926628044	5.792919693940113	-75.60736067262799	0.9177786282583115	0.857701958734591	0.6029605273979746	0.779320083375222
36000	-840.9416136923217	-776.4069603113911	-64.53465338093059	-776.4069603113911	4.055489432796138	-64.53465338093059	0.857661730892794	0.9079399182184139	0.5464824231500232	0.7461708396569608
37000	-841.2133312086573	-779.3572539988868	-61.85607720977051	-779.3572539988868	4.106381230277749	-61.85607720977051	1.2298502225804546	0.9868071302759198	0.7452734982812524	0.8180093522273137
38000	-845.2451300538851	-781.2452673001247	-63.999862753760375	-781.2452673001247	3.7308160360039837	-63.999862753760375	1.1635751392874463	0.9578044326298946	0.705966905371341	0.8236611789130684
39000	-843.5942846981602	-780.6455000557128	-62.94878464244747	-780.6455000557128	4.037222799115635	-62.94878464244747	1.1747789892513363	0.960356140620396	0.6748528846040425	0.8481112764541298
