#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ruhlen" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ruhlen" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ruhlen" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#                <parameter id="growthRate.t:ruhlen" name="growthRate" spec="beast.core.parameter.RealParameter">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ruhlen" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:ruhlen" name="distribution" x="@ePopSize.t:ruhlen">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ruhlen" name="distribution" x="@growthRate.t:ruhlen">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="mu" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="scale" spec="beast.core.parameter.RealParameter">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <prior id="ucldStdevPrior.c:ruhlen" name="distribution">
#            <parameter id="ucldStdev.c:ruhlen" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <LogNormal S="@ucldStdev.c:ruhlen" id="LogNormalDistributionModel.c:ruhlen" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	CoalescentExponential	ePopSize	growthRate
19000	-3432.225212686144	-3364.5681563944627	-67.65705629168133	-3364.5681563944627	0.40583440731424064	0.3332100594603915	0.9523812307914042	0.13188355503304197	0.3706338117590048	-59.61113915519632	20.78062024650674	16.856459323357733
20000	-3429.2741509406565	-3359.0244091656587	-70.24974177499793	-3359.0244091656587	0.396638003742092	0.2992634384187354	0.9267496748801705	0.10180084660892917	0.32913687300469424	-61.48298925896105	42.993591216272115	20.914024782170838
21000	-3432.6277479976134	-3361.4317254554417	-71.19602254217168	-3361.4317254554417	0.4028311940035823	0.301758725413012	0.9554909661745429	0.08929967239259275	0.3025333340485963	-62.77288984198	31.45993633069875	19.63561586233863
22000	-3438.2119401334608	-3374.649865159312	-63.562074974148764	-3374.649865159312	0.38222347737920653	0.1970859811981164	0.9854429573466417	0.035228817171951074	0.18987976244863738	-55.579309833943874	32.233324679628325	19.806172021948356
23000	-3442.60508151291	-3374.616900289781	-67.98818122312932	-3374.616900289781	0.40638815036670606	0.2899267887440445	0.9315250555087753	0.09227165443674117	0.312063273934644	-60.01116136313424	23.08240394361423	16.962434322015298
24000	-3420.9553462350746	-3355.0575206945373	-65.89782554053733	-3355.0575206945373	0.3893450678099067	0.1849150605703113	0.9642108245145459	0.04129713813424873	0.20641335806552352	-58.40131431344373	21.895974064031428	18.62912253719367
25000	-3426.0445921492837	-3359.975207077825	-66.06938507145878	-3359.975207077825	0.3898809061664931	0.2507264696842663	0.9814984505487527	0.0735794849408028	0.2757230809924213	-58.229398438641766	23.336688023268753	17.623631078639423
26000	-3415.8092501122533	-3352.0934297137187	-63.715820398534525	-3352.0934297137187	0.3673833873662439	0.18484368049150637	1.01474457531657	0.030258119542911723	0.17155675723455532	-56.8314047351089	12.563609404500335	16.902717722954353
27000	-3414.7720799921644	-3350.290949188024	-64.48113080414053	-3350.290949188024	0.3476424674215061	0.26514804043386714	0.9783083470626315	0.056131889774512195	0.24359215397724376	-56.80629079407357	18.63036628796159	17.51852120784395
28000	-3414.172768627798	-3351.896721627765	-62.27604700003289	-3351.896721627765	0.33819481772377397	0.267936551493955	0.9795324053416368	0.05868127425075672	0.2447831199938114	-54.3009422104074	22.42035254881541	20.67982167160388
29000	-3422.358047036036	-3349.897730062441	-72.46031697359533	-3349.897730062441	0.410072687722162	0.2373269181690071	0.9598748286630031	0.046825959876240164	0.2211335210277832	-64.64753121720375	22.639927851767897	19.57267183874823
30000	-3431.0727826933276	-3359.7243374023533	-71.34844529097425	-3359.7243374023533	0.4217566742766103	0.2319583246352913	1.002319245800591	0.04703718452018271	0.21713041076568632	-63.267619873987435	30.587274400662764	19.31977483544599
31000	-3421.6544934154063	-3361.797489081056	-59.85700433435043	-3361.797489081056	0.3520143535593389	0.09742266659482107	0.9955580399954135	0.007129303350219214	0.08442297658659016	-52.43999764966064	31.191737654574933	21.416304475080278
32000	-3428.2941284212357	-3360.585286412793	-67.70884200844293	-3360.585286412793	0.3727947700105453	0.2180799193343644	0.989806438389301	0.05004407200422389	0.22410436410043205	-59.3897600979198	39.208137161016765	20.999174588665845
33000	-3415.545524184682	-3345.1778884698	-70.36763571488201	-3345.1778884698	0.3709804143208143	0.2534456880709408	1.0542763587545354	0.07772275105827939	0.2670483335947722	-61.37808054902751	62.68036730647097	22.212235418157526
34000	-3399.1508769907155	-3334.103437000212	-65.04743999050322	-3334.103437000212	0.38232256514319657	0.23777292067161285	1.0072118550117326	0.06924856338075651	0.25468067637678343	-56.883238117731864	31.57698337891095	20.08447339486088
35000	-3409.14384893252	-3342.317743964834	-66.82610496768639	-3342.317743964834	0.38452896386498153	0.2938221514933213	0.9844509236867712	0.0957850269048544	0.30845433131014965	-58.128202524417375	40.90538906116185	21.025631486764237
36000	-3411.801120783622	-3348.227231964911	-63.573888818711104	-3348.227231964911	0.3161223444856481	0.2902676745641752	1.0202123095429447	0.09386464650812269	0.298546691551725	-55.10853623206036	29.972870856611863	23.890975682454354
37000	-3414.575332060262	-3348.430590228465	-66.14474183179706	-3348.430590228465	0.33280062188279097	0.3518806322529653	0.9675765027285594	0.11686165255255394	0.3431462301087611	-56.85141223662985	51.39426479568639	25.081832467450756
