#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" name="populationSizes" spec="beast.core.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.core.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:ruhlen" spec="beast.evolution.tree.coalescent.TreeIntervals">
#        <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#            <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#            </taxonset>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18	demographic.alltrees.times.19	demographic.alltrees.times.20	demographic.alltrees.times.21	demographic.alltrees.times.22	demographic.alltrees.times.23	demographic.alltrees.times.24	demographic.alltrees.times.25	demographic.alltrees.times.26	demographic.alltrees.times.27	demographic.alltrees.times.28	demographic.alltrees.times.29	demographic.alltrees.times.30	demographic.alltrees.times.31	demographic.alltrees.times.32	demographic.alltrees.times.33	demographic.alltrees.times.34	demographic.alltrees.times.35	demographic.alltrees.times.36	demographic.alltrees.times.37	demographic.alltrees.times.38	demographic.alltrees.times.39	demographic.alltrees.times.40	demographic.alltrees.times.41	demographic.alltrees.times.42	demographic.alltrees.times.43	demographic.alltrees.times.44	demographic.alltrees.times.45	demographic.alltrees.times.46	demographic.alltrees.times.47	demographic.alltrees.times.48	demographic.alltrees.times.49
0	0:1.0	7.896055468006083E-4	0.004401329330669108	0.006866159155342562	0.008497806559922199	0.00962637843289455	0.009799226046866989	0.010487634433565287	0.010927747535925078	0.011286292594909191	0.012192613278727634	0.013840441516048253	0.013993254592158997	0.015213935464365268	0.016546319809536723	0.02069296548364254	0.021622331362314888	0.02175101484353079	0.03028072480528749	0.030478601854157822	0.0325361677979137	0.037000351556668656	0.037349277247994916	0.03935136940564512	0.040161323628728166	0.04321639638487734	0.04386974141583843	0.047384186710438335	0.047978928758638385	0.053812784509570846	0.054876192424402136	0.06818473211795738	0.07858863276037492	0.0803931359813206	0.10479649350396592	0.10544916976179275	0.10775286110134201	0.11813828821141453	0.11861120558819009	0.12746300220743872	0.13148690827885723	0.14334168791581908	0.1583880405084464	0.16476367481796012	0.206449762099389	0.2449045156279478	0.24877452105910658	0.42550501333747864	0.4482746938075815	0.9357157386397807	2.1554341575092
5000	0:15.015065873942975	0.0350652364796685	0.03845183736209877	0.042061983220187886	0.04304576139258458	0.05359701222941158	0.05992004098934208	0.0649205477084973	0.06737864370402906	0.07448595178023996	0.07600271842702454	0.07836092676445615	0.08605504732594822:2.3283971844822933	0.0873642416885145	0.09041814453777057	0.09048169617780497	0.09138037492084836	0.09650300385120933	0.09871199602893212	0.10345897956295791	0.1084288725380931	0.10956468674171929	0.11184627744817972	0.14266310036791344	0.14791955352935082	0.15843283737242883	0.1672037866018643	0.16759260439555457	0.1750852412347323	0.18132728237542184	0.18421388026860977	0.18779418047718835	0.2074282435729694	0.21790987552099747	0.22278645175041503	0.22711425667291674	0.23756083638879544	0.25066011732156485	0.25753878305339134	0.26467872960930455	0.26625606349366593	0.2772903928623378	0.3039946293475252	0.3233002759270937	0.3432853664505952	0.43851307550744656:0.21322389832848826	0.44958092445529524	0.45777796022366835	0.4584432539166403	0.4765955179074778	0.7455745243013346
10000	0:7.779971313240283	0.02185994028292084	0.028279582642297744	0.05233021194480335	0.05388518462038129	0.06358989206583959	0.06920869581071762	0.07329941175457182	0.07383347295844762	0.07459591439982699	0.08709948350217728	0.08785713132669928	0.09836459712673812	0.11105784009169055	0.11519155410334228	0.1162685368126233	0.12096277887790131	0.1259173891738721	0.13338515946211985	0.1339190211140911	0.1343117267832871	0.14387658173016338	0.14545534725494982	0.1501253969359641	0.15831663839834262	0.16614800459836512	0.16800039836963054	0.18600759583509846	0.2178062449772458	0.21871212892231806	0.21921876704330892	0.2195698323422386	0.220607866622384	0.22559190710488036:0.7740607398911414	0.24962029114197107	0.26183495026517734	0.26236289442797767	0.266026180353021	0.2694710731079019	0.27115111726056457	0.2752901840964922	0.30947441119753744	0.34398809632931177	0.34566578920364455	0.3558799088759735	0.37178557962321646	0.4165050041732143	0.42795260049269646	0.4536576640777889	0.49249365720724475	0.5861839683042507
15000	0:15.690081988600442	0.015410013993026599	0.03018383935350415	0.03810692069926248	0.03831179942216528	0.03967898011592013	0.07155821964964204	0.07434441660862232	0.08205305400085837	0.08951516650021693	0.09395721825014709	0.09956117822877285	0.10690706993383431	0.10910725117887629:7.182629701490595	0.10980360733825999	0.11137796305667001	0.12259484231201453	0.14879028697818894	0.15369220732704575	0.16032058654588832	0.1619445736256494	0.1728417489798689	0.17894753084943762	0.18144305329440658	0.18311890313200013	0.18619524498841167	0.19074787419877692	0.20158054812815956	0.21062816799694978	0.21301020880453106	0.2157114213623978	0.21829038237056078	0.2266857140593799	0.24429023137534137:1.6355344231649778	0.24919079239711567:0.4388205998024174	0.25515437587579587	0.2598993016849124	0.2655243459277824	0.2676066992769239	0.2698420884394239	0.2877338217787852	0.29525731430986885	0.2980010900548904	0.3085879214696594	0.35471034133737844	0.3626852088131433	0.36950079445089457	0.4066869275659568	0.42979550118337106	0.4527362851681476	0.6245020701688372
20000	0:21.178006127691035	0.014379556107459142	0.041992139457699806	0.05520256096867114	0.061017048805553344	0.07526783079478991	0.0980404646323437	0.09841787088809784	0.10538999758334103	0.10659756977687426	0.11477641221628956	0.11879916713597417	0.12146472733359784	0.13056645783960658	0.13295830337124948	0.1346688692581345	0.13485241707269074	0.14043305430678987:0.8749348672470597	0.14249673140828273	0.14327602285837931	0.14759089259027014	0.14861285259007456	0.15512678229842036	0.158509394520456	0.1620700781709624:1.1301673720618026	0.16651879242315124	0.16844172177877778	0.17800890539091638	0.1808300626481398	0.18244039427452807	0.18597591638099353:1.502730205680386	0.1879856741428572	0.19115042940280758	0.21794773869234163	0.22047204182376828	0.23247930653986335	0.24943488290045832	0.2496468941912525	0.25046456775074716	0.2524594496727286	0.2567817147794536	0.2794826331048248	0.3044805214818752	0.3288575759017758	0.33745213240976135	0.33820764675807763	0.3520516631283515:0.036854865266183104	0.36116159545591126	0.3643896716949818	0.3657662959485588	0.4292553269547347
25000	0:15.843857097174816	0.015671980789022703	0.04650381389538418	0.051366302435365004	0.05739062293703873	0.0590156656864854	0.08180321081900796	0.08854568573302649	0.09280488790304081	0.09314468715420005	0.10703743292688223	0.11027261503708936	0.11340691435107746	0.11531351893832394	0.1171814959555485	0.11840152107725906	0.12107469589269132	0.12294166609387244	0.12954745786300526	0.13041473951217042	0.1411631521673182	0.1436531723617163:0.6551635399506449	0.14429755418772436	0.1470726197014442	0.15281232960044194	0.15316050417084048	0.1542412178948894	0.1546634722473247	0.1556039168964694	0.15768136545982644	0.15958315321721878	0.1672790496389368	0.1674358297130485	0.16892609479948753	0.173149367855746	0.1946311517455932	0.21910348698424148	0.22048755114947627	0.22143548569695237	0.22835942754130792	0.23925611680661227	0.23964914929481768	0.2450036271026791	0.258404170899099	0.2610260341404965	0.2732249693398363	0.27421754258488906	0.31051955483416543	0.32318364436772334	0.3296185301503177	0.4328711041794933
30000	0:15.51528861907931	0.00386474797066752	0.05615268865059774	0.06500954171713046	0.07693623905726592	0.08164028026769546	0.08470340016850927	0.08480136039700549	0.0914888674146735	0.09700507709242649	0.09730260845144523	0.11024112195874534	0.11273888015087546	0.11854971707248585	0.12231512711841744	0.12325171016948724	0.12587784164925175	0.12759065960337287	0.1283628482442195	0.13172085900089697	0.1386440513751497	0.1424212148337013	0.1517198382318885:1.850362369216581	0.15446450600282657	0.171273774451086	0.17540794330452214	0.1784315836962049	0.17866423986337251	0.17890683689179557	0.19282642814875178	0.19444567088402342	0.19695528656099975	0.21729780245772456	0.21803296716231302	0.222499350968502	0.2286553996934147	0.2303871670581744	0.24654277941385686	0.2571826920588462	0.2588413805902675	0.2623909165223025	0.28148669212926386	0.29788256040641237	0.3062937690041009	0.3071913237540978	0.31327320219951155	0.32977414691365803:0.04384713062167075	0.3338031431907936	0.337676433470731	0.3862440919901494	0.43623770735512446
35000	0:16.357286220867326	0.009956817069777387	0.051013800418751136	0.05955866951373802	0.059623958665512594	0.060626898857607414	0.07094834677622164	0.07578187155727234	0.0828160634656138	0.08683596983655148	0.08871819802272694	0.09145550636331307	0.09320772233785168	0.10513440150043724	0.10652200027835675	0.11562407214275149	0.11808895819001036	0.12284437666102291	0.12582988190915886:1.394771714299772	0.12589494898969325	0.13040847293362468	0.1337623348590939	0.1400478561611892	0.14053470107300045	0.14452217417338817	0.14844435398367173	0.157031277632938:1.6141930065218268	0.15873550094661168	0.1628729083704165	0.16405737056768188	0.17502983057816848	0.17663141592202924	0.1787691621806855	0.1865152400835184	0.19393410090480434	0.20138221779090995	0.20611544443452284	0.21164325799848888	0.21332539746610424	0.21658903684128608	0.2244497398709708	0.24207316031438963	0.26911953033749075	0.26953635711505314	0.2833211383048798	0.28428304362419116	0.29574116602222:0.11295704386233486	0.3185447964611912	0.32218616177532844	0.35058226407692	0.5002768160787753
40000	0:23.24709206298445	0.018236264715610514	0.04183083894455766	0.05830678643415077	0.06524590875686707	0.06674086198713068	0.07242965260258112	0.0730516103217317	0.07556665344368993	0.07640850686221501	0.08088654919086836	0.10423442415425443	0.10471740054802493	0.11599639383047385	0.12061563525175814	0.1307275398913314	0.132535154370155	0.13919341109055225	0.14714174465440508:1.244152497823319	0.1497854636353717	0.15004131318164166	0.1514164089465621	0.1528400275051334	0.15550045091048845	0.1577784944212093	0.1585285237250496	0.15874719086611316	0.1624902966806026	0.16685909799346293	0.1764977374103212	0.1799562762374564	0.19229671600480147	0.20623951679221755	0.2091496887462277	0.20998107043575864	0.21164441567949496	0.21246553390582817	0.23409203973639087	0.2359622373374547	0.2525943970216557	0.26216928761493424	0.2678867021789221	0.2707222215736176	0.2930461028063632	0.2970654895387062	0.3097876516542509	0.3323477264415479:0.07186274971516039	0.3329876188241994	0.35787114265749254	0.3674018320186341	0.4534806974752837
45000	0:10.724600729422665	0.019692776862011912	0.045647122249452346	0.0540447212488488	0.06614931520123742	0.07039001209363746	0.07142667588620984	0.07491917069277725	0.07843138476024876	0.0835188942809941	0.08918975820096162	0.08966617165666545	0.11378965964167459	0.11932811086346067	0.12246507496923884	0.12569386826192544	0.1329516808483983	0.13355966484915338	0.1341680589319727:2.226081371094617	0.13446389662484176	0.13916084158938297	0.14571167762957596	0.1516071400107665	0.15425257634575876	0.15727951880206173	0.16469304111876398	0.17588966587928062	0.17596804949543218	0.17998334583673986	0.18367219210839425	0.1868802327657657	0.1873978727373594	0.19779267564948497	0.20833281041481247	0.21212771193139307	0.21278145851706068	0.22288203836918377	0.22318784154106988	0.23741286495480574	0.24149494556491863	0.2547094082779062	0.2560121418401691	0.2576191662836325	0.2662855209189353	0.2717330936160171	0.27972959017278115	0.28480883491444386:0.12243352015515489	0.29189274447969793	0.3114016561793007	0.3503183829465261	0.4318834471000548
