#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:table" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
31000	-868.0975049865767	-808.9565157101424	-59.140989276434354	-808.9565157101424	3.436618841204518	-59.140989276434354	1.17502439718955
32000	-873.5523309126089	-804.3442681599632	-69.20806275264569	-804.3442681599632	3.872789872230917	-69.20806275264569	0.9225036392558157
33000	-872.1469998020451	-803.7812846047067	-68.3657151973384	-803.7812846047067	3.7318917921618024	-68.3657151973384	1.176097889854721
34000	-862.2066640054032	-795.4650269377961	-66.74163706760713	-795.4650269377961	4.057143846259952	-66.74163706760713	1.0368428789898771
35000	-885.9230868781245	-816.2813658042427	-69.64172107388188	-816.2813658042427	4.590390239850291	-69.64172107388188	1.0342622107770276
36000	-860.6016671993239	-804.5635866684586	-56.038080530865294	-804.5635866684586	3.265035398143768	-56.038080530865294	1.2323340473257478
37000	-863.7999461271769	-798.5084870505863	-65.29145907659061	-798.5084870505863	4.195718253883263	-65.29145907659061	1.0935182887682506
38000	-857.4131086962254	-794.0662729288135	-63.34683576741186	-794.0662729288135	3.899702999197867	-63.34683576741186	1.1643089752976485
39000	-859.1874159410115	-794.3410214142391	-64.84639452677249	-794.3410214142391	3.7219458267744954	-64.84639452677249	1.0857551030028447
40000	-856.574068877656	-799.0094730719991	-57.56459580565698	-799.0094730719991	3.2273663190804895	-57.56459580565698	1.060696026560384
41000	-884.1523482893421	-809.1617253506557	-74.99062293868637	-809.1617253506557	3.9712437473090407	-74.99062293868637	0.9047103906081959
42000	-861.3139699135974	-798.2143546338123	-63.09961527978505	-798.2143546338123	3.679508312796873	-63.09961527978505	0.9038995207691781
43000	-860.27587660754	-797.4425883598376	-62.83328824770238	-797.4425883598376	3.770443536542966	-62.83328824770238	0.9713939931145918
44000	-867.3708542136712	-805.5489803746593	-61.82187383901188	-805.5489803746593	3.806472839085479	-61.82187383901188	0.9930974444546972
45000	-873.8054684294909	-807.8588835718522	-65.94658485763874	-807.8588835718522	3.686465539745454	-65.94658485763874	1.021259486246262
46000	-874.8553028655825	-807.593455891031	-67.26184697455156	-807.593455891031	4.1963880201595165	-67.26184697455156	0.9546894252982852
47000	-876.8220330733809	-809.7137929614677	-67.10824011191326	-809.7137929614677	4.480432173862493	-67.10824011191326	0.9062009616415857
48000	-860.3665611442988	-798.0381934516298	-62.32836769266896	-798.0381934516298	3.8433857749961438	-62.32836769266896	0.9078969406786441
49000	-871.9157891053609	-810.6953664260743	-61.220422679286585	-810.6953664260743	3.756408721994312	-61.220422679286585	1.2369410914432766
50000	-888.2857772652696	-813.9292993791489	-74.35647788612077	-813.9292993791489	4.928080173855348	-74.35647788612077	0.7934639056845534
51000	-853.4093809713709	-789.767751078975	-63.641629892395876	-789.767751078975	3.654814449480389	-63.641629892395876	0.9789148761125696
52000	-870.3101921492761	-797.1893494358959	-73.12084271338021	-797.1893494358959	4.597623291903799	-73.12084271338021	0.8606328074515393
53000	-866.3764361108284	-804.9457199541642	-61.43071615666419	-804.9457199541642	4.0330659334348775	-61.43071615666419	1.091457416989623
54000	-855.2961736750301	-797.3193442720451	-57.97682940298506	-797.3193442720451	3.6125571354005603	-57.97682940298506	1.2710919130340557
55000	-877.6296427454018	-813.4688250053482	-64.16081774005364	-813.4688250053482	3.970009911010663	-64.16081774005364	1.100470220248346
56000	-872.3471844842006	-802.9841406473787	-69.36304383682193	-802.9841406473787	3.779260640713277	-69.36304383682193	0.799959074624237
57000	-845.4208951767578	-783.3744975806205	-62.04639759613719	-783.3744975806205	4.067741844278845	-62.04639759613719	0.943131716472992
58000	-855.379604907651	-790.3322435255712	-65.04736138207973	-790.3322435255712	4.429830650658104	-65.04736138207973	1.1162321072119685
59000	-851.6342011444762	-785.3181882966556	-66.31601284782052	-785.3181882966556	4.042971528288947	-66.31601284782052	0.9168963505105601
60000	-820.7552455206937	-766.1979164314047	-54.55732908928908	-766.1979164314047	3.5807375029760777	-54.55732908928908	1.3230921556403785
61000	-826.4998816599558	-770.2480706557768	-56.25181100417903	-770.2480706557768	3.6078001873882917	-56.25181100417903	1.5235018829660276
62000	-840.410596047746	-779.469820449925	-60.940775597820995	-779.469820449925	3.9640528362216836	-60.940775597820995	0.8118445135683063
63000	-842.2905202665748	-774.573927940253	-67.71659232632179	-774.573927940253	4.353925426959643	-67.71659232632179	0.8195141724729924
64000	-834.0638680547381	-775.1831399459701	-58.88072810876807	-775.1831399459701	3.785906844542433	-58.88072810876807	1.1155087091731832
65000	-836.7568371490519	-776.525053889952	-60.2317832590999	-776.525053889952	3.7178155267415396	-60.2317832590999	1.1540285402307615
66000	-840.4442107337544	-779.1198745371158	-61.32433619663854	-779.1198745371158	4.243639781046365	-61.32433619663854	1.0762645478971098
67000	-825.9432470236494	-771.2934994048251	-54.64974761882429	-771.2934994048251	3.529633138441125	-54.64974761882429	1.0755147834910312
68000	-826.4520320252171	-764.8808271433887	-61.5712048818284	-764.8808271433887	3.8165841915194942	-61.5712048818284	0.8845391707933491
69000	-838.830216256848	-784.3704887016769	-54.4597275551711	-784.3704887016769	3.2907694324226244	-54.4597275551711	1.2456000506302016
70000	-848.9223261423475	-778.226781082454	-70.69554505989356	-778.226781082454	4.629548704888962	-70.69554505989356	0.8757277819488449
71000	-834.7776227199485	-781.1018537400033	-53.67576897994516	-781.1018537400033	3.2744018805402426	-53.67576897994516	1.4416161445775397
72000	-849.042150531667	-784.2848947185336	-64.75725581313334	-784.2848947185336	4.028004546489449	-64.75725581313334	0.9700278285312819
73000	-845.5538886882554	-782.4057193687448	-63.14816931951058	-782.4057193687448	3.797851316275974	-63.14816931951058	1.0036270419099358
74000	-839.9042254497538	-777.0972125344007	-62.80701291535313	-777.0972125344007	4.040321135033943	-62.80701291535313	1.1396814448334018
75000	-858.3203841093444	-791.9955913424567	-66.32479276688775	-791.9955913424567	4.614377984975949	-66.32479276688775	1.0701783359543922
76000	-842.4132760133242	-777.4049644488648	-65.0083115644594	-777.4049644488648	4.102047374217619	-65.0083115644594	0.9367642025765329
77000	-833.3439098301899	-775.6798818007346	-57.664028029455324	-775.6798818007346	4.023871511062624	-57.664028029455324	1.2529130735973197
78000	-834.7323190399329	-776.7881017484176	-57.9442172915153	-776.7881017484176	3.743980949755486	-57.9442172915153	1.1074473209772226
79000	-850.5129111726142	-784.9641962276687	-65.54871494494546	-784.9641962276687	4.139476428773457	-65.54871494494546	0.9769889273399309
80000	-839.7496496499418	-773.6122757465463	-66.13737390339548	-773.6122757465463	4.0234512129035735	-66.13737390339548	1.1915596859296584
81000	-830.6358641893122	-770.8317476044429	-59.804116584869384	-770.8317476044429	3.940159555852088	-59.804116584869384	0.9872533361672897
82000	-835.7006312251883	-777.1385254418352	-58.562105783353104	-777.1385254418352	3.5072729586771847	-58.562105783353104	1.1759852728874003
83000	-844.0116168410284	-783.2904636271247	-60.72115321390367	-783.2904636271247	3.9703020551066883	-60.72115321390367	1.1797677954053665
