#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
15000	-940.2290500044699	-871.494079279493	-68.73497072497689	-871.494079279493	4.228023203754152	-70.60904625834695	1.080966498270007	0.016287817466532403	1.0009740336184236	2.3055418259300054E-4	0.01517212957725934
16000	-922.7991900557981	-863.8929507326372	-58.90623932316092	-863.8929507326372	4.004901548976205	-61.37463983554532	1.077086758862678	0.004782505728268631	0.9998089543413878	1.7751316348141723E-5	0.004214431380038208
17000	-929.2114856836225	-864.6892529486436	-64.52223273497896	-864.6892529486436	4.214303867364914	-67.6320552510273	1.1483281790889577	0.0012117779246477297	1.0000414095945156	1.3232281810066131E-6	0.001150171041954291
18000	-912.3968021970755	-849.6242564080563	-62.772545789019155	-849.6242564080563	4.1366392915406065	-66.18781188016149	1.0855853393609594	6.262459641467944E-4	1.0000018174293683	3.1986968293940176E-7	5.655694746359999E-4
19000	-895.0426656536855	-834.2865841116344	-60.75608154205114	-834.2865841116344	4.049674763608833	-64.09753857668548	1.1387224036736332	7.346847807260622E-4	0.9999632998487945	4.767768845389997E-7	6.904842765422947E-4
20000	-894.3355895979953	-835.089523342862	-59.246066255133286	-835.089523342862	3.5751332308623023	-62.87000907398181	1.187138983678957	3.9853183574460187E-4	0.9999881030534963	1.3199044735528904E-7	3.633029286162204E-4
21000	-890.6530778676507	-829.4247051553425	-61.22837271230823	-829.4247051553425	3.69901145228165	-64.9073685605143	1.2631385739345333	3.5370591124292617E-4	0.9999314891659662	1.1977119543392578E-7	3.460878929855786E-4
22000	-896.2797120329986	-830.1120184015152	-66.16769363148337	-830.1120184015152	3.9898195979150457	-69.07293568765368	0.8094517899064511	0.0018825503261691646	1.0001624359227579	3.504785703441638E-6	0.001872108757248982
23000	-873.4552548775858	-813.8911786378262	-59.56407623975963	-813.8911786378262	3.7296301757530403	-62.240337125279986	1.0603116564920068	0.0030746773358089037	1.0000152547873116	9.398696693425363E-6	0.0030659555126048028
24000	-883.8104966058601	-820.756780706156	-63.053715899704116	-820.756780706156	3.9157698277034516	-65.16035761506276	1.0585628285009325	0.010176062267659023	0.9987998394931175	9.008524768720155E-5	0.009487652962805302
25000	-878.4402836156352	-811.2629579190524	-67.17732569658276	-811.2629579190524	3.74741372162511	-69.82512967359625	0.966403207033322	0.0032671382745432798	1.0000810679475134	1.0643241008279033E-5	0.0032615609212476642
26000	-867.6782065376642	-803.4247445078055	-64.25346202985877	-803.4247445078055	3.9763147915803203	-66.93021132270559	1.0761490887464449	0.0030714733170166403	0.9998762361017755	8.937721033747482E-6	0.0029901466316639047
27000	-866.6560899221636	-806.1455837616643	-60.51050616049924	-806.1455837616643	3.8285999024744966	-62.858822385774374	1.0199072571088295	0.006159282599069744	1.0003561463913095	3.956240907257346E-5	0.006287795734546755
28000	-853.3752378455707	-799.1298021534512	-54.24543569211949	-799.1298021534512	3.5560484590525787	-55.43803347962964	0.9832326931543183	0.056828241123188954	0.996569782206909	0.0035841470854427915	0.059665711409834926
29000	-844.1417602159962	-787.5965333779471	-56.54522683804907	-787.5965333779471	3.8113086671441048	-57.88712320320626	1.5200149957316509	0.0441594149092417	1.0023804271838648	0.0016305648826175341	0.04032058559962375
30000	-842.1314217472002	-791.876941520055	-50.254480227145216	-791.876941520055	3.2667013881881495	-50.65092016033812	1.354733505528127	0.16912423422613027	1.0355274965381505	0.031034118463556522	0.17415010092382152
31000	-849.5691017009701	-786.3896457548122	-63.179455946157816	-786.3896457548122	3.810651846337855	-63.40782290034063	1.110660429082227	0.20204195486388396	1.0321996470420567	0.037500011648853145	0.1913868013994622
32000	-841.9214021480125	-785.2039527956699	-56.717449352342534	-785.2039527956699	4.145416089519342	-58.288295948671774	1.1547362947402104	0.029235887923533602	1.003496743702828	7.556396236240882E-4	0.027420496064368208
33000	-839.766788622882	-784.5148480103746	-55.25194061250739	-784.5148480103746	4.0471621487148335	-56.91005546990306	1.1533442237667608	0.024805070998287177	1.001807725174353	5.901273511191832E-4	0.024302318015802675
34000	-847.7947998684986	-786.4608654888848	-61.333934379613794	-786.4608654888848	3.899791070342736	-63.35153040645638	1.3483342298335936	0.012205712287711754	0.9976296027804398	1.5598171972409165E-4	0.012503209442684033
