#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:ruhlen" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:ruhlen" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:ruhlen" name="distribution" x="@birthRate.t:ruhlen">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:ruhlen" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-5914.551338994985	-5907.015896407958	-7.535442587025997	-5907.015896407958	0.9934498593130463	-7.535442587025997	1.0
1000	-3977.4342571782986	-4009.0201121721357	31.58585499383719	-4009.0201121721357	0.5388479212056742	31.58585499383719	5.884688868772761
2000	-3714.723372556278	-3745.43678762893	30.71341507265192	-3745.43678762893	0.396460810022718	30.71341507265192	5.198327161199369
3000	-3611.1685841400044	-3645.331703801237	34.163119661232514	-3645.331703801237	0.4669570681955301	34.163119661232514	6.168141856580229
4000	-3569.1558421485224	-3603.170130633833	34.01428848531058	-3603.170130633833	0.44734682828293115	34.01428848531058	4.9245552222805085
5000	-3523.4818463503784	-3557.7709777121927	34.28913136181438	-3557.7709777121927	0.4607466521629593	34.28913136181438	6.154157990685558
6000	-3496.2115543178293	-3529.2808578064987	33.069303488669355	-3529.2808578064987	0.44481226568626886	33.069303488669355	4.673480995374752
7000	-3495.6297402454566	-3532.1811798532094	36.551439607752776	-3532.1811798532094	0.4087624303636144	36.551439607752776	6.506830017067246
8000	-3455.5893498774435	-3493.3300450675188	37.7406951900751	-3493.3300450675188	0.4213076184985376	37.7406951900751	6.277968751288476
9000	-3424.103028271765	-3458.6540041497833	34.550975878017894	-3458.6540041497833	0.4161711201646848	34.550975878017894	4.2028337093003385
10000	-3411.4238611322858	-3450.6495895972284	39.225728464942875	-3450.6495895972284	0.3900868663365901	39.225728464942875	5.742440772561959
11000	-3394.4696500125647	-3432.26544866727	37.79579865470553	-3432.26544866727	0.4009477755835893	37.79579865470553	5.830997726515587
12000	-3387.31822011671	-3424.9854566314934	37.66723651478317	-3424.9854566314934	0.4385666403667778	37.66723651478317	5.57441519630759
13000	-3378.5981988560275	-3416.8193562747433	38.22115741871575	-3416.8193562747433	0.3691233024457878	38.22115741871575	5.815895391522202
14000	-3375.1406341552115	-3409.9939205601527	34.85328640494117	-3409.9939205601527	0.4419341252943931	34.85328640494117	7.448558291213884
15000	-3373.187143907849	-3407.7346783609237	34.54753445307452	-3407.7346783609237	0.4741908096021305	34.54753445307452	4.71685458620519
16000	-3356.0918722965475	-3395.1376157090826	39.04574341253495	-3395.1376157090826	0.3945842339523907	39.04574341253495	7.0443090411939835
17000	-3325.1127961262932	-3362.5465116503083	37.433715524015014	-3362.5465116503083	0.4207187552042302	37.433715524015014	5.43744694306938
18000	-3330.543349115563	-3366.9239712227686	36.380622107205596	-3366.9239712227686	0.41848973326923167	36.380622107205596	5.47734227593396
19000	-3274.4751048770554	-3310.9912010289017	36.51609615184654	-3310.9912010289017	0.3947403722002905	36.51609615184654	7.1786004006257205
20000	-3268.50221922444	-3306.5237544912443	38.021535266804015	-3306.5237544912443	0.41875312229988126	38.021535266804015	5.938581065338456
21000	-3266.204464352479	-3306.790942260965	40.58647790848568	-3306.790942260965	0.36632195981408533	40.58647790848568	5.021021174219741
22000	-3263.9372159038144	-3301.331776725411	37.3945608215966	-3301.331776725411	0.41384117091526346	37.3945608215966	5.171164537631316
23000	-3264.9054129954247	-3303.7096445493366	38.80423155391179	-3303.7096445493366	0.43868925343020887	38.80423155391179	5.715226451366496
24000	-3271.781297730767	-3310.171933258813	38.390635528045806	-3310.171933258813	0.452393912007618	38.390635528045806	5.894677301077286
25000	-3269.4713848628803	-3309.1453231351456	39.673938272265524	-3309.1453231351456	0.43317365363786303	39.673938272265524	7.535408125836716
26000	-3241.299275347618	-3283.882964983928	42.583689636310154	-3283.882964983928	0.38329003605405804	42.583689636310154	6.595566849337629
27000	-3238.0947335106143	-3277.846893121561	39.75215961094665	-3277.846893121561	0.41449102064839216	39.75215961094665	5.9712663989325705
28000	-3252.239912418546	-3289.553949301172	37.31403688262599	-3289.553949301172	0.4122568290818506	37.31403688262599	9.398238583631118
29000	-3245.529285283758	-3285.030876976351	39.501591692593195	-3285.030876976351	0.43492400736720166	39.501591692593195	5.665699374916132
30000	-3236.406045800524	-3280.1874366220486	43.781390821524305	-3280.1874366220486	0.42672484000927036	43.781390821524305	6.7218958640199205
31000	-3240.0852906124796	-3280.875682767863	40.790392155383344	-3280.875682767863	0.4154516779689697	40.790392155383344	5.599987358389697
32000	-3242.8233855731473	-3283.283420582675	40.46003500952731	-3283.283420582675	0.4458410313644616	40.46003500952731	6.510686061245386
33000	-3245.0941001771403	-3285.942251510519	40.848151333378404	-3285.942251510519	0.42991574797928644	40.848151333378404	6.653832083684684
34000	-3234.3455903175495	-3274.9191015435995	40.57351122604981	-3274.9191015435995	0.41578228675096923	40.57351122604981	6.063399274216602
35000	-3243.463007914614	-3281.008511771945	37.545503857331006	-3281.008511771945	0.41992537517735923	37.545503857331006	5.262031292478872
36000	-3237.2929159130586	-3275.4910581547624	38.198142241703664	-3275.4910581547624	0.45920294994391764	38.198142241703664	4.910761398851738
37000	-3232.8310601990593	-3272.7663814146886	39.93532121562912	-3272.7663814146886	0.4762910050305123	39.93532121562912	6.578015689252139
38000	-3230.7984687520943	-3271.7175113280464	40.91904257595203	-3271.7175113280464	0.43061557638336884	40.91904257595203	5.9374327685494475
39000	-3234.036737796876	-3274.4055438561954	40.36880605931952	-3274.4055438561954	0.4132812075720966	40.36880605931952	5.048009025832045
40000	-3232.93748700651	-3273.8217846251086	40.884297618598744	-3273.8217846251086	0.3997692056735761	40.884297618598744	7.7638765928858975
41000	-3235.8029024939883	-3274.020203016115	38.21730052212677	-3274.020203016115	0.43842620161745677	38.21730052212677	4.856626682056477
42000	-3230.6802074807106	-3271.2223697088375	40.542162228126884	-3271.2223697088375	0.39660552000495647	40.542162228126884	5.1518723130332384
43000	-3242.4912357776348	-3280.9110999744266	38.419864196791806	-3280.9110999744266	0.4210738458289808	38.419864196791806	5.244832302889178
44000	-3238.507689384391	-3277.6660240690935	39.15833468470227	-3277.6660240690935	0.46937436732409943	39.15833468470227	5.724299289093274
45000	-3235.122241513523	-3277.4386857839872	42.31644427046422	-3277.4386857839872	0.4006511143101387	42.31644427046422	5.772543468896056
46000	-3233.7640669803127	-3274.1975445826956	40.43347760238299	-3274.1975445826956	0.41866007323707194	40.43347760238299	5.403197048640932
47000	-3239.7360580503005	-3279.6348156967188	39.898757646418304	-3279.6348156967188	0.4756226490244642	39.898757646418304	7.648129149485429
48000	-3252.07801665123	-3291.8880388529356	39.810022201705436	-3291.8880388529356	0.36761323621354774	39.810022201705436	6.292579260390443
49000	-3227.6813876650376	-3266.730902570824	39.04951490578642	-3266.730902570824	0.40439196008388767	39.04951490578642	7.323730761909103
50000	-3221.421741586916	-3265.322849100673	43.901107513757076	-3265.322849100673	0.41552955478686987	43.901107513757076	6.48072043290051
51000	-3235.8607750472625	-3273.6396840236353	37.77890897637294	-3273.6396840236353	0.4662503331522217	37.77890897637294	6.348669271317632
52000	-3226.7663255410253	-3265.108650285347	38.342324744321516	-3265.108650285347	0.43551218919188905	38.342324744321516	6.870670284131206
53000	-3214.702455639291	-3258.727027152992	44.02457151370051	-3258.727027152992	0.4361340533230388	44.02457151370051	7.4133043754256445
54000	-3219.034734064483	-3259.144943936765	40.11020987228186	-3259.144943936765	0.4545537137122184	40.11020987228186	7.06318743973291
55000	-3220.5099692220333	-3260.356282919086	39.846313697052516	-3260.356282919086	0.44717175180185886	39.846313697052516	5.5260686391935625
56000	-3225.091346933364	-3264.9710813389897	39.87973440562558	-3264.9710813389897	0.45085756983359815	39.87973440562558	7.1492648366885465
57000	-3217.1858868396885	-3255.214609659434	38.02872281974524	-3255.214609659434	0.4472920626232875	38.02872281974524	6.174051002626748
58000	-3210.620421927645	-3251.346956002268	40.72653407462289	-3251.346956002268	0.4029961379258514	40.72653407462289	6.231680539596203
59000	-3214.2269054886365	-3252.9284971783973	38.70159168976062	-3252.9284971783973	0.41976571352295744	38.70159168976062	5.5462137012096395
60000	-3219.5366707710514	-3256.7918255707123	37.255154799660886	-3256.7918255707123	0.4646733611583447	37.255154799660886	5.288330460868094
61000	-3211.3206317349186	-3251.5987430728164	40.2781113378978	-3251.5987430728164	0.37613165313443125	40.2781113378978	5.399788810719726
62000	-3209.33058227554	-3248.8008245009	39.470242225360096	-3248.8008245009	0.4152029500898967	39.470242225360096	7.434274247601047
63000	-3220.2148390847647	-3258.8851439101827	38.6703048254181	-3258.8851439101827	0.40980382406633964	38.6703048254181	4.806963698201165
64000	-3209.6286631912812	-3250.9770040096655	41.348340818384465	-3250.9770040096655	0.40492120280148136	41.348340818384465	5.884680707857474
65000	-3219.4794817947436	-3257.5272675572637	38.04778576252021	-3257.5272675572637	0.4845770475375289	38.04778576252021	6.376637899167295
66000	-3206.769289096048	-3248.364572306399	41.59528321035121	-3248.364572306399	0.43181973969588583	41.59528321035121	6.780823470068388
67000	-3204.465496197295	-3248.506850933582	44.04135473628672	-3248.506850933582	0.40359863441062266	44.04135473628672	5.631300988748416
68000	-3216.9504518735166	-3255.859232804523	38.90878093100606	-3255.859232804523	0.39604343044171747	38.90878093100606	4.626468231166128
69000	-3209.7201195010557	-3250.299109808653	40.57899030759763	-3250.299109808653	0.456391657170173	40.57899030759763	6.312060958802654
70000	-3211.2778096344	-3251.8188360097233	40.54102637532345	-3251.8188360097233	0.39998643889660507	40.54102637532345	5.27762077105784
