#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:ruhlen" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:ruhlen" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:ruhlen" name="distribution" x="@birthRate.t:ruhlen">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <Exponential id="Exponential.c:ruhlen" name="distr">
#                    <parameter id="UCExpLambda.c:ruhlen" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="100" id="expRateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucedMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
0	-6967.831265003253	-6955.132372971782	-12.698892031470562	-6955.132372971782	3.866730169572706	-12.698892031470562	1.0	1.3163443352134625	0.7193136941846043	0.8267552143331836
1000	-4287.688508020554	-4295.188189944163	7.499681923609472	-4295.188189944163	1.5319295080328068	7.499681923609472	2.662813972205658	0.7157394565052118	0.807236352898764	0.8533524264144837
2000	-4008.745284594888	-4019.3303225016166	10.58503790672897	-4019.3303225016166	1.8124973836117468	10.58503790672897	3.572007230547294	0.689574187699095	0.9553598603586365	0.8830314527729151
3000	-3910.5632399354054	-3930.2481014582654	19.68486152286005	-3930.2481014582654	0.8819239652004023	19.68486152286005	4.663232322617185	0.7940036350866057	0.8947304440478383	0.8366093242554371
4000	-3850.6723412990455	-3866.6044028250703	15.932061526024778	-3866.6044028250703	0.9998432116642985	15.932061526024778	3.504853717316028	0.7327496639960633	0.8381524481550846	0.8193092636374263
5000	-3806.952758107626	-3824.1551747322	17.20241662457407	-3824.1551747322	1.1391133234782942	17.20241662457407	4.082300600903569	0.7593931074359042	0.847468026109295	0.8279084602238505
6000	-3755.116627809345	-3768.663171475197	13.546543665852091	-3768.663171475197	0.976421699474132	13.546543665852091	3.829000906123227	0.7322725836586543	0.7135974297472202	0.7987066705321201
7000	-3751.9076952422342	-3765.4300943187386	13.522399076504206	-3765.4300943187386	1.1932222733585884	13.522399076504206	4.274516702314537	0.7334963613832517	0.5971729887530531	0.7671417382381028
8000	-3728.5880582193904	-3753.2269262066116	24.63886798722137	-3753.2269262066116	0.6877664300297816	24.63886798722137	4.571806918386046	0.870278309665382	0.711101085349891	0.777911159153374
9000	-3676.3106988826116	-3703.644465089765	27.33376620715364	-3703.644465089765	0.7279943160021208	27.33376620715364	4.662595384900635	0.9019954645001934	0.649621524072532	0.7288673286667395
10000	-3645.328880116951	-3674.103124803527	28.774244686576083	-3674.103124803527	0.6386230039171276	28.774244686576083	4.841041393136577	0.9185640885292867	0.66743450535558	0.712016027815667
11000	-3625.340836788205	-3652.037462864967	26.696626076762357	-3652.037462864967	0.6848165760817456	26.696626076762357	5.180740158840953	0.9264704596392732	0.6820467173722978	0.7284553141364889
12000	-3608.4007415372557	-3639.502672381788	31.101930844532337	-3639.502672381788	0.7720851885690548	31.101930844532337	5.365184435367753	0.9310043881969394	0.7660698012186172	0.7368521640820261
13000	-3599.540631299958	-3626.0777201907467	26.5370888907889	-3626.0777201907467	0.684906416423231	26.5370888907889	4.929741682299615	0.9227529497026524	0.6739613424922634	0.7118981803952381
14000	-3544.113226012481	-3567.680415691204	23.56718967872325	-3567.680415691204	0.646307424361516	23.56718967872325	3.1890418757545236	0.8768331171026941	0.6871752159564054	0.7448549978691389
