#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:ruhlen" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:ruhlen" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:ruhlen" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:ruhlen" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:ruhlen" jeffreys="true" parameter="@bPopSizes.t:ruhlen" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ucldStdevPrior.c:ruhlen" name="distribution">
#            <parameter id="ucldStdev.c:ruhlen" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <LogNormal S="@ucldStdev.c:ruhlen" id="LogNormalDistributionModel.c:ruhlen" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-6381.471760359897	-6051.486591434229	-329.9851689256688	-6051.486591434229	0.9327015574904856	0.1	1.004657801493524	0.010957017856706733	0.10355148425544082	-297.10367680718747	380.0	380.0	380.0	380.0	380.0	10	10	10	10	10
1000	-4466.989433192016	-4213.923126304455	-253.06630688756135	-4213.923126304455	0.6721960532770825	0.016685984496740826	1.001860034241789	2.874825391870468E-4	0.01690916634712835	-226.49585916598173	69.40541014012256	104.92541149603873	38.45827463337358	130.72545561969366	195.96438328966465	11	8	11	14	6
2000	-4235.523707302791	-4045.181445809238	-190.34226149355325	-4045.181445809238	0.5986650696721939	0.16829337436037572	0.9945320265929417	0.031357976121569986	0.17845223137469687	-165.28520846525987	30.51235122032685	76.85305700219637	11.082634509541434	41.94657078202157	70.89607793678492	17	1	19	12	1
3000	-3980.347755212177	-3823.344721819521	-157.00303339265605	-3823.344721819521	0.5178414588178716	0.30147071305239515	0.9766543051971904	0.0979252198934393	0.31415177229263896	-127.20341112419968	38.650008473177685	55.6311788675255	1.6908388020383447	10.590607853874246	80.88133053360144	17	1	22	9	1
4000	-3870.466765257374	-3749.0920297726752	-121.37473548469858	-3749.0920297726752	0.4998691194904893	0.2935008417165016	0.991900556415771	0.08496434010821613	0.29196676051354464	-101.57976489715386	12.553219735105204	12.022414483827731	2.30726971965383	4.595150248765671	30.157595989030224	13	2	27	7	1
5000	-3815.9856042990564	-3708.0439586940292	-107.94164560502706	-3708.0439586940292	0.4037993146684358	0.23829319708486646	1.0002107848811919	0.05468258350460093	0.2306862829576605	-92.90503446360697	20.169808081661554	3.959815231236641	1.4454149338908782	3.3119766412516496	10.899224244301783	10	7	25	7	1
6000	-3806.577461012251	-3706.5903526964375	-99.98710831581349	-3706.5903526964375	0.5052979327483401	0.3070808321405563	0.9216063454034179	0.09350496234378865	0.3188857362420547	-85.40560774434341	14.822213564640823	1.6425950741359463	0.7462924576075485	2.647726718696915	9.689334388148199	9	7	30	3	1
7000	-3731.829504424247	-3640.465968333806	-91.3635360904407	-3640.465968333806	0.4277450948610011	0.3892890276006036	0.8893969546105897	0.09834385703400822	0.35270400759369286	-79.80458823580067	11.185995026061137	1.5602701958447143	0.778341180100716	1.0472747154718187	4.127747486287869	8	9	25	4	4
8000	-3669.4080877609636	-3576.0139027661485	-93.39418499481496	-3576.0139027661485	0.530130290356319	0.39511843870095076	0.9094642006862128	0.13331135978607975	0.38944009516132383	-79.37356973772651	19.92688630801559	4.5934633728994525	1.2957936847225493	0.6267142923083593	3.2198839884755586	6	4	27	10	3
9000	-3642.347070009891	-3563.271514360586	-79.07555564930489	-3563.271514360586	0.5739137388635083	0.4576567220563232	0.9056174520868655	0.19865301504163235	0.46338073383276185	-68.12169316585887	23.706445700996582	6.1621999164371895	1.6631662130118474	0.6314341512028184	0.6491643405266115	4	2	27	16	1
10000	-3628.0118083813145	-3551.0208631548585	-76.99094522645599	-3551.0208631548585	0.6059169747490093	0.3318467141218044	0.934253928485941	0.08842737813712197	0.31129905770836724	-66.76879494124113	16.39367844590394	11.232389196780083	1.2195357073912607	0.8336773600157551	0.3131958996595304	4	1	25	18	2
11000	-3616.11576137938	-3542.4845699209695	-73.63119145841034	-3542.4845699209695	0.4852744713181911	0.3832821646905521	0.9256893480966442	0.11366080747315885	0.36189040821067503	-62.69657840522539	23.490099899044626	19.616664384339625	1.2411074856185538	0.4246366235206617	0.21404983885448625	2	3	27	14	4
12000	-3600.4380489464	-3526.153706455333	-74.28434249106687	-3526.153706455333	0.4588933471607289	0.40453380574948095	0.8852379909684536	0.1361526232407743	0.40543104984664213	-62.88052888576962	32.616188865347304	28.15917040326905	1.199172998053363	0.336752441014556	0.06561621134167525	5	3	25	15	2
