#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:table" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:table" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:table" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:table" name="distribution" x="@BDBirthRate.t:table">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:table" name="distribution" x="@BDDeathRate.t:table">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
15000	-970.0286512004991	-895.8688563461793	-74.15979485431983	-895.8688563461793	4.2058420643008105	0.018798902228855992	0.9983440056240156	3.01303081612089E-4	0.017375340054049095	-69.05352723521474	0.7190114211860913	0.44706851330553027
16000	-955.3353918118735	-880.1485910715019	-75.18680074037165	-880.1485910715019	4.455030313623678	0.10965062498693184	0.990614804822359	0.011401928280199123	0.1080671447343245	-69.03072338872762	0.6653585808627401	0.43887190401301795
17000	-945.8398422657347	-867.3385156650854	-78.50132660064924	-867.3385156650854	4.455030313623678	0.11886989956694753	1.000046892447133	0.01602887317012817	0.12712005973288212	-72.28394040853638	0.8719578426945972	0.4092924900098499
18000	-918.0794814337389	-848.2908814097729	-69.78860002396611	-848.2908814097729	3.9095684277391034	0.08971430390018338	1.0193760254457163	0.009918487280703443	0.09905457564301778	-63.7771136469222	0.881070049268752	0.4356290996466667
19000	-913.7425678355336	-839.3478052463465	-74.39476258918708	-839.3478052463465	4.038970470471615	0.09078424514862819	0.9961057666178298	0.008908391761126963	0.09447625673245127	-68.37501629532528	0.8843443814344486	0.41651716610658956
20000	-897.9111049840863	-829.6760824369616	-68.23502254712464	-829.6760824369616	3.9500252355302643	0.09940379357075597	0.9937929612752366	0.009146240355969113	0.09546397475103811	-62.15094572156637	0.8129653818479444	0.3155216936295717
21000	-913.6021668365235	-837.5465064277118	-76.05566040881158	-837.5465064277118	4.048507571294194	0.0684384004203931	0.9917603001721533	0.0037471702323444585	0.061509981828582846	-70.2245132025271	0.7945668797864217	0.5302219388218884
22000	-910.9811906283123	-838.2813235247639	-72.69986710354839	-838.2813235247639	3.977779985043761	0.12015142941651029	0.9943790842010394	0.014442320072587693	0.11986610088433433	-66.47418826083079	0.9971612230083458	0.2039627244730529
23000	-898.048460316203	-825.0007206120612	-73.04773970414176	-825.0007206120612	4.286356020131512	0.12169206874455976	0.9911873386578307	0.01694170419779356	0.13125557017997916	-66.81216077632382	0.8180328265875505	0.3100537399408833
24000	-901.581044052841	-824.9908641601415	-76.59017989269948	-824.9908641601415	3.7929227633076166	0.1932371890792573	0.9755173918278154	0.040701438698526216	0.20345816482932783	-69.95436076190445	0.8490005156198351	0.45156830239883095
25000	-869.9732574262387	-798.9423460033166	-71.030911422922	-798.9423460033166	3.636014705139724	0.15541002554764535	0.973911945600874	0.02649652158383536	0.16649601340836248	-64.59444101408309	0.7234890850019273	0.3725866000863891
26000	-861.6235122430899	-797.214772308298	-64.40873993479187	-797.214772308298	3.8812027014018735	0.026841065355676062	0.9936998417597357	7.688530521149482E-4	0.027823294160578157	-59.1174496832516	0.6497929689481364	0.6051829333284405
27000	-855.802869643041	-786.51804340264	-69.28482624040099	-786.51804340264	4.423137683688161	0.02716739377773659	0.9960394124000846	7.255864614703001E-4	0.027038171425054307	-63.9871178022197	0.4111690746106607	0.7496109521701788
28000	-879.7464242688957	-806.3822693540078	-73.36415491488788	-806.3822693540078	4.260242948692336	0.11106129700352789	0.9913701770344386	0.01102989965058199	0.10594997228903932	-67.19849839859735	0.40972620541557386	0.66097577396652
29000	-864.0341382045023	-795.6825422847446	-68.35159591975761	-795.6825422847446	3.86666179636165	0.24131919952259034	1.00357397544052	0.060285698922887224	0.24371019674158417	-61.487572826294475	0.7318037759938104	0.4196978611368265
30000	-862.350245724159	-790.71020203904	-71.64004368511893	-790.71020203904	4.186113116830791	0.37199083929134724	0.9559255864228116	0.164935505503513	0.40406448688753144	-64.23462116729497	0.6480215889744313	0.5812458237607101
31000	-860.3806843194832	-794.5382828261335	-65.84240149334971	-794.5382828261335	3.794135342202702	0.05583734563199839	1.000815716474792	0.0029664074761982955	0.05436451383426777	-60.13793730671148	0.886548603576618	0.25066905002008644
32000	-857.1690004188755	-788.5213130164109	-68.6476874024646	-788.5213130164109	4.192707627204894	0.006019280387902426	1.000828426929279	3.290605525287038E-5	0.0057343432514707655	-64.09920073307114	0.9588167855016996	0.19014268555513464
33000	-850.2458144172541	-784.5043616737361	-65.74145274351802	-784.5043616737361	3.9169502802794605	0.05488045423301578	0.9963007238623058	0.002701346382343593	0.05207441304787543	-60.04745248282296	0.8952394344809796	0.41973318147475847
34000	-857.0154344574844	-791.3541637431103	-65.66127071437406	-791.3541637431103	4.275863561102476	0.03118438504509625	0.997450815001325	8.447557800613873E-4	0.029109646035365363	-60.28955468141565	1.032080118764056	0.36515040707939694
35000	-849.7330958891966	-783.7053865874014	-66.02770930179514	-783.7053865874014	4.528144887631085	0.006630541299151661	1.0005752766267235	3.938590078141922E-5	0.00627505655411311	-61.433092750888136	0.538293276124417	0.6885388421732784
36000	-852.6273754548012	-784.084765698645	-68.54260975615618	-784.084765698645	4.085477219335363	0.0017839909359749627	0.9998554564027868	3.3680866893517735E-6	0.001835418846969442	-64.56511237144332	0.6289572991052367	0.6218256409192957
37000	-850.7283896653605	-787.2609515389347	-63.46743812642578	-787.2609515389347	3.6133748578037665	0.0022538140388024936	0.9998042092981021	5.756555108893255E-6	0.0023994415647008876	-59.3810823680879	0.9950011737560742	0.18281314525516537
38000	-861.8222712368025	-790.4354118983653	-71.38685933843728	-790.4354118983653	3.9717182349414757	0.0015002534506800193	0.9998583711218475	2.606478246792007E-6	0.0016145779178164804	-67.48985489459132	0.8574937926371824	0.3662318557357046
39000	-850.2216950986284	-791.8614987703183	-58.360196328310025	-791.8614987703183	3.1239522483224826	0.04965297298428207	1.001781203733474	0.0023860076967543516	0.048802311404293704	-52.725969733004675	0.8862356591072272	0.5406229737264142
40000	-863.4615251178191	-793.0712917323377	-70.39023338548137	-793.0712917323377	3.756243346074134	0.1162771033636487	1.0060066734602038	0.013327941994199798	0.11454493066328475	-64.18978980345227	1.0218279273852868	0.07763064478126765
41000	-869.2468367621395	-799.2521251854913	-69.99471157664823	-799.2521251854913	4.3596075136989265	0.032677440004048035	1.001266747442918	0.0010800981505150345	0.03285006636100766	-64.59755426936394	0.7952819003882972	0.450005786835648
42000	-856.1407084117919	-791.7138713126268	-64.42683709916511	-791.7138713126268	4.208786683768045	9.075491202545302E-4	0.9999351515893666	8.808020738930047E-7	9.385434501076467E-4	-60.76280085847479	0.8284400002052068	0.551550149765936
43000	-844.5477477318133	-784.1400222817315	-60.407725450081784	-784.1400222817315	3.69409619474187	0.001103364194726504	0.9996604780263658	1.1272012504683142E-6	0.001061885589538981	-56.65322745068025	0.6294197427953535	0.4286217526415303
44000	-839.746311808587	-775.1465112220608	-64.59980058652629	-775.1465112220608	3.8197193505699376	0.006541825909009874	0.9995347736214714	4.195279614265002E-5	0.0064788925767290065	-60.01161798227942	0.6392370566925789	0.5577781233606686
45000	-839.673106575022	-770.212255500278	-69.46085107474394	-770.212255500278	4.176247404191293	0.002451188767026766	0.9996412350675363	6.722793373893474E-6	0.0025929539538298157	-65.335328277773	0.8818620673778573	0.2939962802668405
46000	-836.7471965923219	-772.7221532784238	-64.02504331389815	-772.7221532784238	4.084089166280212	3.002783830654818E-4	1.00003307557829	8.294399600345001E-8	2.8799288432770865E-4	-60.87181696224683	0.5669785131777012	0.6721615971135588
47000	-851.7513480168361	-782.2014589249638	-69.54988909187233	-782.2014589249638	4.906430883645267	7.304200414452597E-5	1.0000097023413423	4.989632388734532E-9	7.063703399467992E-5	-67.0481138697314	0.4576201003717689	0.7351667960937587
48000	-841.1785039184364	-785.604515628613	-55.57398828982341	-785.604515628613	3.895373162344483	2.3697590554993613E-5	1.000001609976355	5.843234043356729E-10	2.4172790876647167E-5	-53.5905967361728	0.5160609920019483	0.7351667960937587
49000	-839.8516819206814	-780.0884168957998	-59.76326502488152	-780.0884168957998	3.773068582781064	3.3352801545630327E-4	1.0000190432687304	1.0904193678730508E-7	3.302121252414429E-4	-56.56160183876532	0.7025857335839963	0.7351667960937587
50000	-838.6320988139094	-774.7681953810759	-63.86390343283344	-774.7681953810759	3.916946549593664	0.013180937825195742	0.9991805403882981	1.81798534739326E-4	0.013493376694483462	-58.93580071387028	0.446049160241885	0.7334079121317415
51000	-840.7032719208036	-783.8865018568149	-56.81677006398864	-783.8865018568149	4.172674633309462	0.007340108570058482	0.9993048434699414	5.4786759600425935E-5	0.007405522977435313	-52.173487946798275	0.9246626638335146	0.5017432074426018
52000	-828.2126195996558	-775.1834858022282	-53.02913379742758	-775.1834858022282	3.5505071401789703	0.0062725835893922745	0.9997391134589283	3.8623483098518816E-5	0.006214853078071187	-48.46100588807376	0.9071719718144294	0.3987016757326979
53000	-853.6666377659682	-785.971133690913	-67.69550407505514	-785.971133690913	4.329749441200627	0.09319380940029769	1.0039360132723651	0.006894771452630955	0.0837539640435803	-61.65738794410521	0.903580530912852	0.32653332940408863
54000	-857.6006590955021	-786.3511768635515	-71.24948223195071	-786.3511768635515	4.057432570328757	0.12216320966628469	1.0005332208356277	0.010157255197407115	0.10116487907643956	-65.01089059287892	0.6468736581562265	0.577270953453236
55000	-838.1683198841254	-772.4617870427052	-65.7065328414202	-772.4617870427052	3.788096196042103	0.023824910725141146	0.9980626662647524	4.34648896290666E-4	0.020867255868359417	-60.47802062942088	0.8135025477199109	0.5481121159997842
56000	-851.7633051798028	-775.6657964178358	-76.09750876196699	-775.6657964178358	3.7856727677532893	0.10169600008951873	0.9937952818912182	0.009705870683244792	0.0995166178923804	-69.99693376615689	1.1581900639751903	0.14222583767803923
57000	-842.3641690776063	-772.3208316285743	-70.04333744903207	-772.3208316285743	4.588126360550679	0.2881326257252036	0.948388010171499	0.08131762190449647	0.29806709306789253	-62.97510495213537	1.0452894696382795	0.2748813425470388
58000	-837.37601235072	-776.2200330300184	-61.15597932070153	-776.2200330300184	4.050515602684323	0.04075191494358266	1.0022618051928915	0.0014338023741083494	0.037886697369704084	-55.63601454879519	0.7426306429694962	0.4410954386620411
59000	-851.1290345293692	-784.54671852408	-66.58231600528919	-784.54671852408	4.148503623195288	0.020440082248130348	1.0001264549390025	3.8588940493451007E-4	0.019631955159328186	-61.43321581465658	0.7271423738686905	0.4495047883813274
