#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:ruhlen" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:ruhlen" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:ruhlen" name="distribution" x="@birthRate.t:ruhlen">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:ruhlen" name="distribution">
#            <parameter id="ucldStdev.c:ruhlen" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <LogNormal S="@ucldStdev.c:ruhlen" id="LogNormalDistributionModel.c:ruhlen" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-5906.139910216293	-5899.898426501532	-6.241483714761194	-5899.898426501532	0.9653443411689104	-7.060847859881996	1.0	0.1	0.964829914002453	0.009216487209822892	0.09742498989470376
1000	-4137.8458949461765	-4153.623599869387	15.777704923210615	-4153.623599869387	0.8590087241132552	16.822185473262962	4.454372313191945	0.5214383193654544	0.840880377343948	0.34383758249085944	0.5918509232058025
2000	-3986.292092710749	-4010.133225436746	23.84113272599746	-4010.133225436746	0.6512300819371426	25.068077596124326	5.521411810179146	0.574180147808115	0.8854709907291585	0.41487952653741794	0.6283552601834835
3000	-3879.5961088324602	-3901.0504828632425	21.45437403078235	-3901.0504828632425	0.6620387433406115	22.5658237451943	4.779245383702742	0.5406516848878268	0.9369769625114032	0.40414705524388744	0.6030880029386908
4000	-3758.3347299911097	-3779.636796896282	21.302066905172175	-3779.636796896282	0.7894170675192654	22.80613477930867	4.895619048652081	0.6564654856296664	0.8666489994531321	0.6427668699771795	0.7567463796260362
5000	-3723.514437178889	-3740.8951124953273	17.38067531643854	-3740.8951124953273	0.8426061240920062	18.884743190575033	4.09405622372113	0.6564654856296664	0.8359290505829331	0.5145488490708247	0.7035023348795065
6000	-3660.6142580596465	-3685.844981926224	25.230723866577456	-3685.844981926224	0.691467731326449	26.378409699602656	4.203648610766456	0.5511187641139258	0.9200681852461328	0.3435851869803387	0.5701256351618537
7000	-3575.701669299042	-3607.9852441839867	32.283574884944635	-3607.9852441839867	0.6304412812710847	33.44226948456676	5.136886933245495	0.5543083518920879	0.914427285179052	0.3609095102451881	0.5872998589800456
8000	-3518.671517609007	-3548.9380919827654	30.26657437375837	-3548.9380919827654	0.5936088939715871	31.369055519982297	5.125096910419445	0.5380686404945983	0.9205975130189759	0.3758773983220174	0.5831175407919988
9000	-3509.350991425849	-3541.1956363312565	31.844644905407847	-3541.1956363312565	0.5516902305680066	32.61035782383019	5.194171023932694	0.4434585497769205	0.9513364929987786	0.21223964476567062	0.45175866539994364
10000	-3493.229078113618	-3521.874785319238	28.645707205620035	-3521.874785319238	0.6203167018100331	29.670639957121036	4.851069835502944	0.5158630832065276	0.9401570159992793	0.2850458066934465	0.5272830254655884
11000	-3491.7355191582924	-3520.1184752568925	28.382956098599944	-3520.1184752568925	0.6124985313412015	29.596490679879032	6.037782379675549	0.570262531329852	0.9685131155469311	0.31452079493066537	0.5555654806452541
12000	-3468.4385427435896	-3501.24725811265	32.808715369060316	-3501.24725811265	0.5457670843093011	33.402192577919436	6.302934325503705	0.3970971267780231	0.9584387175366472	0.1881522682648973	0.4269995933887981
13000	-3456.5287567976857	-3490.945481871497	34.41672507381131	-3490.945481871497	0.49782271752416934	35.085178151929064	5.516047416430945	0.41709253475949293	0.9547820824268821	0.20465461957843742	0.4429239051039613
14000	-3461.5762636886793	-3492.6160433085847	31.03977961990523	-3492.6160433085847	0.5180044947390177	31.56517671910655	6.2639537934729255	0.3792040711464635	0.9403265283518953	0.12356352889546159	0.36797682491139583
15000	-3430.670820897198	-3467.4411903588266	36.770369461628356	-3467.4411903588266	0.4103372328334718	37.355925229246274	5.720883679646169	0.39500204498788993	0.9684543717493262	0.1540918850614431	0.40140910029411314
16000	-3380.572224936415	-3416.6988077327487	36.126582796333935	-3416.6988077327487	0.474212359214312	36.27967470570443	6.751759542711702	0.2863830636855127	0.9797088854273673	0.07159785978566777	0.2720173537181255
