#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="uralic.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:table">
#            <taxonset id="uralic" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Udmurt_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Udmurt_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mari_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mari_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Khanti_1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Khanti_2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Estonian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Finnish" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hungarian" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.table	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	mrca.age(uralic)
0	-3153.964223149105	-3138.456342349846	-15.50788079925873	-3138.456342349846	2.2526868856972095	-16.327244944379533	1.0	0.1	1.021681458436564	0.011874772764909383	0.10816733955986324	1.2684222327106842
1000	-1744.6804024143908	-1639.8857617862714	-104.79464062811944	-1639.8857617862714	8.334137973915132	-104.93976971851755	0.5377071340596551	0.21936594260236428	0.9989347312659772	0.056712949107279094	0.23186688366268465	4.131155911616347
2000	-1515.7014324067486	-1413.1367867542535	-102.56464565249502	-1413.1367867542535	5.8599516682302175	-102.16960265641701	0.542775598508799	0.34569096523491016	1.0353705205605286	0.15603502623343138	0.37087216936393286	3.5004789030558454
3000	-1367.416094057194	-1264.0191935447333	-103.3969005124607	-1264.0191935447333	5.393055080485236	-103.5497109575471	0.6684861023387152	0.2177402858960138	0.984708095746206	0.05720531555069649	0.23951209650033153	3.696310521183572
4000	-1320.81736842241	-1226.4391125760287	-94.37825584638134	-1226.4391125760287	4.7248445103850125	-95.41472900326124	0.792790414647598	0.07283016873594297	1.005234141574493	0.005472326077990248	0.07372832182063158	3.33062782611416
5000	-1267.75637444085	-1170.5884012542608	-97.1679731865893	-1170.5884012542608	4.794862963701442	-98.89830669116469	0.6110350050193609	0.02159466638099338	1.0006350278499583	4.897727040210857E-4	0.02215074788223821	3.494474498082302
6000	-1221.6732186227562	-1126.2355211397553	-95.43769748300078	-1126.2355211397553	5.295256194163364	-97.54576473295168	0.6811734873258198	0.010146319120607364	1.001671322225133	1.2360447340787798E-4	0.011118771378840172	2.2134149647998114
7000	-1170.2583886212456	-1087.916921342436	-82.3414672788096	-1087.916921342436	4.582269154672385	-83.65453954341471	0.7551082535208864	0.04641359233014678	1.0018464943434962	0.002060249925396551	0.045418005007150236	2.680517255200825
8000	-1079.9958415412427	-1003.4417015047637	-76.55414003647893	-1003.4417015047637	4.242260339007903	-78.28016513547598	0.8456147479860868	0.02177531318707715	1.0008327093724168	4.0882314680982325E-4	0.020192903626266016	2.759053689124872
9000	-1033.2273855975461	-954.276907808973	-78.95047778857325	-954.276907808973	4.624226628925565	-80.65657513841745	0.8293481573060045	0.022628457076779393	0.9990318904759948	6.060888949356301E-4	0.02458106491870251	2.948321606549147
10000	-956.2695987597824	-892.5494306189469	-63.7201681408355	-892.5494306189469	3.654785091867051	-64.40893471179875	0.9139206327706303	0.11911691132253178	1.003158700237311	0.013185700722720376	0.11390393617671127	1.9417000126338424
11000	-914.9145091535052	-849.0547410202853	-65.8597681332198	-849.0547410202853	3.9175008363035624	-66.40540426852641	0.9131360100264531	0.14239430587190272	1.0167069589797795	0.01970880979777111	0.13804466196745832	2.0753014883250627
12000	-901.1757358112413	-831.8449926234066	-69.3307431878348	-831.8449926234066	4.280875078186266	-69.90726286346583	0.9676065914411337	0.13717092319712926	1.0005564905527753	0.017707511113474413	0.1315587220185084	2.2025195273464377
13000	-885.8635451962766	-824.7154759206197	-61.1480692756569	-824.7154759206197	4.24954968236138	-62.37936387426331	0.9232310393838986	0.053304631615740006	0.9986137957335777	0.0027134273943775454	0.052037103735753244	2.285140179569955
14000	-888.5132329959268	-826.949313931332	-61.56391906459484	-826.949313931332	3.612268285550574	-62.26450094870846	1.2589117949148323	0.11730289090929555	0.9909661946246812	0.01435841799323385	0.11874943701077023	2.1044602897964753
15000	-898.6926448424596	-834.686400220458	-64.00624462200157	-834.686400220458	3.967215582245715	-64.60897331168205	0.9091670334347042	0.13282392171740742	1.0006264442813158	0.01854154299213565	0.13581050108419382	2.3473276054378633
16000	-889.5819550196909	-829.8651766127781	-59.716778406912795	-829.8651766127781	3.7488485553734776	-60.072514336689444	1.104136390337853	0.17683255026660472	1.0095444576973507	0.035762747333875564	0.18581139535888516	2.2138642431800397
17000	-883.3698834193103	-825.5439096523306	-57.825973766979644	-825.5439096523306	3.818246874857891	-58.28336839073777	1.1951808758041107	0.15790943903911153	1.0116640700832613	0.027383116547747468	0.16154910963910488	2.0790705276986445
