	Label	Parameter	Implication(s)	Label	RGS	MsS	SCa	Sal	NCa	BA	Cam	Ter	CR	RE	PR	It	Sp	Fr	Ptg	Rm	SaG	CG1	CG2	Grk	CyG	E	Du	Afk	D	Da	Ice	FO	Nor	Blg	SC	Slo	Po	Rus	Ir	Wel	Ma	Hi	Pas	Ta	Te	Man	Can	Jap	Kor	Hu	Kh1	Kh2	Est	Fin	mM1	mM2	Ud1	Ud2	Yu	Ev1	Ev2	Ek	Ya	Uz	Kaz	Kyr	Tur	Bur	cB	wB	Mal	Arc	Lak																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
55	PCA	± plural spread through cardinal adjectives	 -PSC	PCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	-	0	-	-	-	-	0	0	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
56	RHM	± head marking on relative clauses	+FGP	RHM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	+	+	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
57	FRC	± finite relative clauses		FRC	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	-	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
58	NRC	± participial relative clauses	+FRC	NRC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	0	0	-	-	+	-	-	0	+	-	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	+	+	+	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
59	DOR	± def on relatives	"+DGR, +FRC"	DOR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
60	LKA	± argument linker                        		LKA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
61	LKP	± predicative linker                        		LKP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
62	LKO	± oblique linker                        	-LKA	LKO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	+	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
63	FFP	± feature spread to particles	"+FGN, (+LKA or +LKP or +LKO or +GAD), ¬+GFP"	FFP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	+	+	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
64	NOP	± NP under non-genitive arguments	"+FGP, (+CSE or +LKA or +LKO)"	NOP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	+	+	0	0	0	0	0	0	0	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
65	PNP	± complement under P	"+FGP, -CSE or -NOP"	PNP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	-	0	0	0	0	0	0	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
66	NOD	± NP under D	+FGP	NOD	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
67	NOC	± N under cardinals	"¬+UST, +PNP, +NOD"	NOC	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
68	NM1	± N under M1 As	+NOC	NM1	-	-	-	-	-	-	-	-	+	+	+	+	+	+	+	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
69	NM2	± N under M2 As	+NM1	NM2	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
70	NOA	± N under As	+NM2	NOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
71	NGO	± N under GenO	"¬-PGO, +NOA"	NGO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	-	0	-	0	0	0	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
72	EAF	± fronted high As	-NM1	EAF	-	-	+	-	-	-	-	-	0	0	0	0	0	0	0	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
73	ACM	± class MOD	"-ARR, -NGO"	ACM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	-	0	0	0	-	-	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
74	DSN	± def spread to N	+DCN	DSN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	-	-	+	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
75	DSA	± def spread to Adj	"(+DGR or +DGP), +ARR or (+PNP, ¬+NOA)"	DSA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
76	DOC	± def on cardinals	"-NWD, +DCN, +NOC"	DOC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
77	NEX	± Proper names in D	"(-FSN or -CGR), -NWD, ¬+NOA"	NEX	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
78	PEX	± Personal proper names in D	+NEX	PEX	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
79	FEX	± Partial personal proper names in D	+PEX	FEX	+	+	+	0	+	+	+	+	-	-	-	+	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
80	PDC	± def-checking possessives	"+DGR, (+CGR or -NWD), ¬+GFP"	PDC	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	0	0	0	0	0	+	0	0	-	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
81	ACL	± clitic possessives on +N                	"+FGP,  ¬+GFP,  ¬+DMP, ¬+UST, ¬+PDC"	ACL	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	+	+	+	+	+	-	-	-	-	-	0	-	0	0	-	-	-	-	0	0	-	-	-	-	-	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
82	NCL	± clitic  possessives on N	-ACL	NCL	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	-	-	-	-	-	0	-	0	0	-	-	-	-	0	0	-	-	+	-	-	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
83	APO	± adjectival  possessives	"+FGM, ¬+GFP, -CAL, ¬+UST"	APO	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	+	+	-	-	-	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
84	WAP	± Wackernagel possessives	"¬+DMP, -PDC, -APO or (-NM1, +APO)"	WAP	+	+	+	-	-	-	-	-	+	0	0	0	0	0	0	0	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
85	AGE	± adjectival genitive	+APO	AGE	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	+	-	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
86	OPK	± null possessive with kinship nouns	"+DGR, -GSI"	OPK	-	-	-	-	+	+	+	+	+	+	+	+	-	-	-	+	-	-	-	-	-	-	-	-	-	+	+	+	+	-	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
87	TSP	± split deictic demonstratives                    	-FSN or +DGR	TSP	-	-	-	-	-	-	-	+	+	+	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	+	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
88	TDP	± split demonstratives                    	+TSP	TDP	0	0	0	0	0	0	0	-	+	-	-	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
89	TDC	± D-checking demonstratives	-TSP	TDC	+	+	+	+	+	+	+	0	0	0	0	+	+	0	+	+	+	-	+	-	-	+	+	+	+	+	+	+	+	+	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
90	TAR	± ARR demonstratives	+ARR	TAR	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	+	-	-	-	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	+	0	0	+	+	+	+	0	0	0	0	0	0	0	0	0	-	+	+	+	+	+	+	+	+	-	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
91	TAD	± structured adjectival demonstratives	-ARR	TAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	+	+	+	+	+	-	-	0	0	0	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
92	TND	± long distance D-checking demonstratives	"+CGR, (+TAR or +TAD)"	TND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
93	TDA	± split def on adjectival demonstratives	"(+DSN or +DSA), (+TAR or +TAD)"	TDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
94	TNL	± DP under Loc	"¬+TDC, ¬+TAR, ¬+TAD"	TNL	0	0	0	0	0	0	0	-	-	-	-	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	+	+	0	0	0	0	+	+	+	+	+	+	+	+	+	+	0	0	0	0	0	0	0	0	+	0	+	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
